SALES,COST_OF_SALES,QUANTITY_SOLD,GROSS_PROFIT,DAILY_UNIT_PRICE,DAILY_GROSS_PROFIT_PERCENT,DAILY_GROSS_PROFIT_PER_UNIT
37726.61590,32490.13602,897,5236.47988,42.05865763657,13.88006783800,5.83777021182
37776.65877,32719.68964,880,5056.96913,42.92802132955,13.38649127400,5.74655582955
37870.11903,32436.79597,900,5433.32306,42.07791003333,14.34725635700,6.03702562222
37923.76586,34031.14949,940,3892.61637,40.34443176596,10.26431917200,4.14108124468
38340.59961,35918.33515,913,2422.26446,41.99408500548,6.31775320300,2.65308265060
38648.13752,35038.06869,906,3610.06883,42.65798843267,9.34086106500,3.98462343267
39104.63910,33890.36043,930,5214.27867,42.04799903226,13.33416901400,5.60675125806
39403.65856,34229.63192,937,5174.02664,42.05299739594,13.13082802200,5.52190676628
39463.40906,41414.41837,1035,-1951.00931,38.12889764251,-4.94384382000,-1.88503314976
39809.55909,34091.56966,946,5717.98943,42.08198635307,14.36335784800,6.04438628964
40067.15121,34559.08452,953,5508.06669,42.04318070304,13.74708838500,5.77971321091
40131.57351,36347.69872,940,3783.87479,42.69316330851,9.42867288500,4.02539871277
40140.82003,38881.08844,1018,1259.73159,39.43106093320,3.13828065600,1.23745735756
40530.64229,35674.19076,968,4856.45153,41.87049823347,11.98217263700,5.01699538223
40742.17168,36464.75981,1010,4277.41187,40.33878384158,10.49873311500,4.23506125743
40776.02706,39940.19958,979,835.82748,41.65069158325,2.04980117100,0.85375636364
40881.35491,35019.11264,972,5862.24227,42.05900710905,14.33964770200,6.03111344650
40951.10428,37288.62455,954,3662.47973,42.92568582809,8.94354326800,3.83907728512
41855.92876,39629.45187,1078,2226.47689,38.82739217069,5.31938235700,2.06537744898
41885.82828,37565.47859,1039,4320.34969,40.31359795958,10.31458578600,4.15818064485
41893.30316,39495.45590,997,2397.84726,42.01936124373,5.72370063700,2.40506244734
42054.68047,40736.15048,1067,1318.52999,39.41394608247,3.13527525400,1.23573569822
42195.81736,40869.24947,1070,1326.56789,39.43534332710,3.14383740600,1.23978307477
42723.52446,36607.39066,1016,6116.13380,42.05071305118,14.31561154500,6.01981673228
42723.52446,37112.98506,1016,5610.53940,42.05071305118,13.13220168700,5.52218444882
42871.83287,37139.30826,1019,5732.52461,42.07245620216,13.37130751400,5.62563749755
43085.59501,36887.36617,1024,6198.22884,42.07577637695,14.38584946700,6.05295785156
43213.17762,42981.21685,1050,231.96077,41.15540725714,0.53678248800,0.22091501905
43292.14924,37391.68089,1029,5900.46835,42.07205951409,13.62941885200,5.73417721088
43537.72816,37649.38753,1035,5888.34063,42.06543783575,13.52468509200,5.68921800000
43894.99343,37604.65842,1044,6290.33501,42.04501286398,14.33041565400,6.02522510536
44303.46649,41485.45872,1124,2818.00777,39.41589545374,6.36069362800,2.50712435053
44304.89836,45468.83698,1142,-1163.93862,38.79588297723,-2.62711046200,-1.01921070053
44698.70075,46849.56715,1171,-2150.86640,38.17139261315,-4.81192151900,-1.83677745517
45046.51321,42368.04535,1071,2678.46786,42.06023642390,5.94600485000,2.50090369748
45324.05453,38809.80890,1078,6514.24563,42.04457748609,14.37260125500,6.04289947124
45839.23877,39231.19537,1090,6608.04340,42.05434749541,14.41569183400,6.06242513761
46211.33246,46407.29912,1122,-195.96666,41.18657081996,-0.42406624000,-0.17465834225
46291.37192,39783.36067,1101,6508.01125,42.04484279746,14.05879968600,5.91100022707
46566.46205,41660.44043,1155,4906.02162,40.31728316017,10.53552579300,4.24763776623
46599.29813,43806.73201,1182,2792.56612,39.42411009306,5.99272141900,2.36257708968
46818.20532,40652.57641,1096,6165.62891,42.71734062044,13.16929785700,5.62557382299
47497.98253,41179.08825,1122,6318.89428,42.33331776292,13.30350036700,5.63181308378
48008.48284,47681.67208,1166,326.81076,41.17365595197,0.68073544600,0.28028367067
48037.79990,45187.64158,1143,2850.15832,42.02782143482,5.93315748400,2.49357683290
48102.96241,49028.36507,1169,-925.40266,41.14881301112,-1.92379557000,-0.79161904192
